Original Name,Wiki Name,Summary
Alpheratz,Alpheratz,"Alpha Andromedae (Alpha And, α And, α Andromedae), which has the traditional names Alpheratz (or Alpherat from the Arabic word الفرس) and Sirrah (or Sirah), is the brightest star in the constellation of Andromeda. Located immediately northeast of the constellation of Pegasus, it is the northeastern star of the Great Square of Pegasus. Ptolemy considered Alpha Andromedae to be shared by Pegasus, and Bayer assigned it a designation in both constellations: Alpha Andromedae (α And) and Delta Pegasi (δ Peg). When the modern constellation boundaries were fixed in 1930, the latter designation dropped from use.
It is located 97 light-years from Earth. Although it appears to the naked eye as a single star, with overall apparent visual magnitude +2.06, it is actually a binary system composed of two stars in close orbit. The chemical composition of the brighter of the two stars is unusual as it is a mercury-manganese star whose atmosphere contains abnormally high levels of mercury, manganese, and other elements, including gallium and xenon. It is the brightest mercury-manganese star known."
Caph,Caph,"Beta Cassiopeiae (β Cas, β Cassiopeiae) is a Delta Scuti variable star in the constellation Cassiopeia. It is a subgiant or giant star belonging to the spectral class F2. The white star of second magnitude (+2.27 mag) has an absolute magnitude of +1.16 mag. It has the traditional name Caph, from the Arabic word كف kaf, ""palm"" (i.e. reaching from the Pleiades)."
Algenib,Algenib,"Alpha Persei (Alpha Per, α Persei, α Per) is the brightest star in the northern constellation of Perseus, just outshining the constellation's best known star, Algol. Known by the traditional names Mirfak and Algenib, it is a circumpolar star when viewed from the latitude of New York City or higher. It has an apparent visual magnitude of 1.8, placing it among the brightest stars in the sky. Mirfak lies in the midst of a cluster of stars eponymously named the Alpha Persei Cluster, or Melotte 20, which is easily visible in binoculars and includes many of the fainter stars in the constellation. The distance to this star has been determined using the parallax technique, putting it 510 light-years (160 parsecs) away."
Ankaa,Ankaa,"Alpha Phoenicis (α Phe, α Phoenicis), or Ankaa, is the brightest star in the constellation Phoenix."
Shedir,Shedir,"Alpha Cassiopeiae (α Cas, α Cassiopeiae) is a second magnitude star in the constellation Cassiopeia, with the traditional name Schedar, sometimes spelled Shedir. Though listed as the ""alpha star"" by Johann Bayer, α Cas's visual brightness closely rivals the beta star in the constellation (Beta Cassiopeiae, also known as Caph) and it may appear marginally brighter or dimmer, depending on which passband is used. However, recent calculations from NASA's WISE telescope confirm that α Cas is the brightest in Cassiopeia, with a apparent magnitude of 2.240. Its absolute magnitude is 18 times greater than β Cas, although it is located farther away from Earth (228 light years versus 54)."
Diphda,Diphda,"Beta Ceti (β Cet, β Ceti) is the brightest star in the constellation Cetus. Although it has the Bayer designation ""beta"", it is actually brighter than Alpha Ceti. It has the traditional names Deneb Kaitos and Diphda. This orange giant is easy to identify due to its location in an otherwise dark section of the celestial sphere. Based on parallax measurements, it lies at an estimated distance of 96.3 light-years (29.5 parsecs) from Earth."
96 G. Psc,96 G. Psc,"This is the list of notable stars in the constellation Pisces, sorted by decreasing brightness."
Mirach,Mirach,"Beta Andromedae (Beta And, β And, β Andromedae) is the Bayer designation for a prominent star in the northern constellation of Andromeda. It has the traditional name Mirach, which is also spelled Merach, Mirac, Mirak. β Andromedae is located northeast of the Great Square of Pegasus and is theoretically visible to all observers north of 54° S. The galaxy NGC 404, also known as Mirach's Ghost, is visible seven arc-minutes away.
This star has an average apparent visual magnitude of 2.05, which makes it the brightest star in the constellation. However, the luminosity varies slightly from magnitude +2.01 to +2.10. Based upon parallax measurements, it is located at a distance of roughly 197 light-years (60 parsecs) from Earth. The apparent magnitude of this star is reduced by 0.06 from extinction caused by the gas and dust along the line of sight."
Ruchbah,Ruchbah,"The traditional star name Rucbah can refer to three different stars:
Alpha Aquarii in the Aquarius constellation
Delta Cassiopeiae in the Cassiopeia constellation
Alpha Sagittarii in the Sagittarius constellation (Al Rami, Rukbat)
Alpha Sagittarii in fiction, namely Rukbat, is the sun in Pern stories by Anne McCaffrey, from 1967"
Achernar,Achernar,"Achernar /ˈeɪkərnɑːr/ (α Eri, α Eridani, Alpha Eridani), sometimes spelled Achenar, is the brightest star in the constellation Eridanus and the tenth-brightest star in the night sky. Of the ten apparent brightest stars in the nighttime sky, Achernar is the hottest and bluest in color, being of spectral type B. Lying at the southern tip of Eridanus, the star has an unusually rapid rotational velocity, causing it to become oblate in shape. Achernar is actually a binary star system, with the second star known as Achernar B. The second star is smaller and orbits Achernar A at a distance of roughly 12 astronomical units (AU). Achernar B is of spectral type A."
Sheratan,Sheratan,"Beta Arietis (β Ari, β Arietis) is a binary star system in the constellation Aries, marking the Ram's second horn."
Almaak,Almaak,"Gamma Andromedae (Gamma And, γ And, γ Andromedae) is the third brightest point of light in the constellation of Andromeda. It is also known by the traditional name Almach (also spelt as Almaach, Almaack, Almak, Almaak, or Alamak).
In 1778, Johann Tobias Mayer discovered that γ Andromedae was a double star. When examined in a small telescope, it appears to be a bright, golden yellow star (γ1 Andromedae) next to a dimmer, indigo blue star (γ2 Andromedae), separated by approximately 10 arcseconds. It is often considered by stargazers to be a beautiful double star with a striking contrast of color. It was later discovered that γ2 Andromedae is itself a triple star system. What appears as a single star to the naked eye is thus a quadruple star system, approximately 350 light-years from the Earth."
Hamal,Hamal,"Hamal (α Ari, α Arietis, Alpha Arietis) is the brightest star in the northern zodiacal constellation of Aries. It has the Bayer designation α Arietis and the Flamsteed designation of 13 Arietis. With an apparent visual magnitude of 2.0, it is among the brightest stars in the night sky. Based upon parallax measurements made with Hipparcos astrometry satellite, Hamal is about 65.8 light-years (20.2 parsecs) from Earth. It is a giant star that may host an orbiting planet with a mass greater than Jupiter."
Polaris,Polaris,"Polaris (α Ursae Minoris, α UMi, commonly the North Star or Pole Star) is the brightest star in the constellation Ursa Minor. It is very close to the north celestial pole, making it the current northern pole star. The revised Hipparcos parallax gives a distance to Polaris of about 433 light-years (133 parsecs), while calculations by other methods derive distances around 30% closer.
Polaris is a multiple star, comprising the main star, α UMi Aa, which is a supergiant; two smaller companions, α UMi B and α UMi Ab; and two distant components, α UMi C and α UMi D. α UMi B was discovered in 1780 by William Herschel."
268 G. Cet,268 G. Cet,"This is the list of notable stars in the constellation Cetus, sorted by decreasing brightness."
Acamar,Acamar,"Theta Eridani (θ Eri, θ Eridani) is a star in the constellation Eridanus. It has the traditional name Acamar from the Arabic آخِر النَّهْر Ākhir an-nahr which means ""the end of the river"". Historically, Acamar represented the end of the constellation Eridanus. Now that distinction is held by the star Achernar, a star which shares the same Arabic etymology. Achernar is not visible from the Greek isles (latitudes > 33° North), hence the choice of Acamar as the river's end during the time of Hipparchus and later Ptolemy.
The term Ākhir an-nahr or Achr al Nahr was appeared in the catalogue of stars in the Calendarium of Al Achsasi Al Mouakket, which was translated into Latin as Postrema Fluminis.
In Chinese, 天園 (Tiān Yuán), meaning Celestial Orchard, refers to an asterism consisting of θ Eridani, χ Eridani, φ Eridani, κ Eridani, HD 16754, HD 23319, HD 24072, HD 24160, υ4 Eridani, 43 Eridani, υ2 Eridani and υ1 Eridani. Consequently, θ Eridani itself is known as 天園六 (Tiān Yuán liù, English: the Sixth Star of Celestial Orchard.)
Acamar is a double star with some evidence suggesting it is part of a multiple star system. The main star, θ1 Eri, is of the spectral class A4 and has a +3.2 apparent magnitude. Its companion star, θ2 Eri, is of the spectral class A1 and has an apparent magnitude of +4.3. The angular separation of the two stars is equal to 8.3 arcseconds. Acamar's distance from Earth as measured by the Hipparcos astrometry satellite is approximately 120 light-years.
Ptolemy described Acamar as a first-magnitude star, which some have taken to be in fact Achernar, which today appears just above the horizon in Alexandria where Ptolemy lived.
Achernar, however, was not visible to Ptolemy (it is from Alexandria today due to precession); its declination in 100CE was -67, making it invisible even at Aswan. Ptolemy's Eridanus thus without doubt ended at Acamar, which rose about 10 degrees above the horizon from Alexandria. This fact besides positively identifying Acamar as the original ""end of the river"", also strengthens the case for Acamar having been first magnitude in ancient times."
Menkar,Menkar,"Alpha Ceti (α Cet, α Ceti) is a star in the constellation of Cetus. It has the traditional name Menkar or Menkab. The name Menkar derives from the Arabic word منخر manħar ""nostril"" (of Cetus).
This star, along with γ Cet (Kaffaljidhma), δ Cet, λ Cet (Menkar), μ Cet, ξ1 Cet and ξ2 Cet were Al Kaff al Jidhmah, ""the Part of a Hand"".
In Chinese, 天囷 (Tiān Qūn), meaning Circular Celestial Granary, refers to an asterism consisting of α Ceti, κ1 Ceti, λ Ceti, μ Ceti, ξ1 Ceti, ξ2 Ceti, ν Ceti, γ Ceti, δ Ceti, 75 Ceti, 70 Ceti, 63 Ceti and 66 Ceti. Consequently, α Ceti itself is known as 天囷一 (Tiān Qūn yī, English: the First Star of Circular Celestial Granary.)"
Algol,Algol,"Algol (Beta Per, β Persei, β Per), known colloquially as the Demon Star, is a bright star in the constellation Perseus. It is one of the best known eclipsing binaries, the first such star to be discovered, and also one of the first (non-nova) variable stars to be discovered. Algol is actually a three-star system (Beta Persei Aa1, Aa2, and Ab) in which the large and bright primary β Persei Aa1 is regularly eclipsed by the dimmer β Persei Aa2. Thus, Algol's magnitude is usually near-constant at 2.1, but regularly dips to 3.4 every 2.86 days (2 days, 20 hours and 49 minutes) during the roughly 10-hour-long partial eclipses. There is also a secondary eclipse (the ""second minimum"") when the brighter star occults the fainter secondary. This secondary eclipse can only be detected photoelectrically. Algol gives its name to its class of eclipsing variable, known as Algol variables."
82 G. Eri,82 G. Eri,"Barnard's Star /ˈbɑːrnərd/ is a very-low-mass red dwarf about six light-years away from Earth in the constellation of Ophiuchus. It is the fourth-closest known individual star to the Sun (after the three components of the Alpha Centauri system) and the closest star in the Northern Hemisphere. Despite its proximity, at a dim apparent magnitude of about nine, it is not visible with the unaided eye; however, it is much brighter in the infrared than it is in visible light.
The star is named for American astronomer E. E. Barnard. He was not the first to observe the star (it appeared on Harvard University plates in 1888 and 1890), but in 1916 he measured its proper motion as 10.3 arcseconds per year, which remains the largest known proper motion of any star relative to the Solar System.
Barnard's Star is among the most studied red dwarfs because of its proximity and favorable location for observation near the celestial equator. Historically, research on Barnard's Star has focused on measuring its stellar characteristics, its astrometry, and also refining the limits of possible extrasolar planets. Although Barnard's Star is an ancient star, it still experiences star flare events, one being observed in 1998.
The star has also been the subject of some controversy. For a decade, from the early 1960s to the early 1970s, Peter van de Kamp claimed that there were one or more gas giants in orbit around it. Although the presence of small terrestrial planets around Barnard's Star remains a possibility, Van de Kamp's specific claims of large gas giants were refuted in the mid-1970s.

"
