Alpheratz or Sirrah or delta Peg,Alpheratz,"Alpha Andromedae (Alpha And, Î± And, Î± Andromedae), which has the traditional names Alpheratz (or Alpherat from the Arabic word Ø§Ù„ÙÅØ±Ø_) and Sirrah (or Sirah), is the brightest star in the constellation of Andromeda. Located immediately northeast of the constellation of Pegasus, it is the northeastern star of the Great Square of Pegasus. Ptolemy considered Alpha Andromedae to be shared by Pegasus, and Bayer assigned it a designation in both constellations: Alpha Andromedae (Î± And) and Delta Pegasi (Î´ Peg). When the modern constellation boundaries were fixed in 1930, the latter designation dropped from use.It is located 97 light-years from Earth. Although it appears to the naked eye as a single star, with overall apparent visual magnitude +2.06, it is actually a binary system composed of two stars in close orbit. The chemical composition of the brighter of the two stars is unusual as it is a mercury-manganese star whose atmosphere contains abnormally high levels of mercury, manganese, and other elements, including gallium and xenon. It is the brightest mercury-manganese star known."
Mirach,Mirach,"Beta Andromedae (Beta And, Î_ And, Î_ Andromedae) is the Bayer designation for a prominent star in the northern constellation of Andromeda. It has the traditional name Mirach, which is also spelled Merach, Mirac, Mirak. Î_ Andromedae is located northeast of the Great Square of Pegasus and is theoretically visible to all observers north of 54Â° S. The galaxy NGC 404, also known as Mirach's Ghost, is visible seven arc-minutes away.This star has an average apparent visual magnitude of 2.05, which makes it the brightest star in the constellation. However, the luminosity varies slightly from magnitude +2.01 to +2.10. Based upon parallax measurements, it is located at a distance of roughly 197 light-years (60 parsecs) from Earth. The apparent magnitude of this star is reduced by 0.06 from extinction caused by the gas and dust along the line of sight."
Almach,Almach,"Gamma Andromedae (Gamma And, Î_ And, Î_ Andromedae) is the third brightest point of light in the constellation of Andromeda. It is also known by the traditional name Almach (also spelt as Almaach, Almaack, Almak, Almaak, or Alamak).In 1778, Johann Tobias Mayer discovered that Î_ Andromedae was a double star. When examined in a small telescope, it appears to be a bright, golden yellow star (Î_1 Andromedae) next to a dimmer, indigo blue star (Î_2 Andromedae), separated by approximately 10 arcseconds. It is often considered by stargazers to be a beautiful double star with a striking contrast of color. It was later discovered that Î_2 Andromedae is itself a triple star system. What appears as a single star to the naked eye is thus a quadruple star system, approximately 350 light-years from the Earth."
Adhil,Adhil,"The name Adhil has been applied to a number of stars, especially in the constellation Andromeda."
Sadal Melik,Sadal Melik,"This is the list of notable stars in the constellation Aquarius, sorted by decreasing brightness."
Sadachbia,Sadachbia,"Gamma Aquarii (Î_ Aqr, Î_ Aquarii) is the Bayer designation for a star in the constellation Aquarius. It has the traditional name Sadachbia, from an Arabic expression Ø_Ø_Ø¯ Ø§Ù„Ø£Ø®Ø¨Ù_Ø© saâ€˜d al-â€™axbiyah ""luck of the homes (tents)"". In Hindi it is also called Satabhishaj (a hundred physicians); Sadhayam in Tamil. This star has an apparent visual magnitude of 3.849, making it one of the brighter members of the constellation. Based upon parallax measurements, this star is located at a distance of roughly 164 light-years (50 parsecs) from the Sun, with an error margin of 5%. The star is a spectroscopic binary with a period of 58.1 days.In the catalogue of stars in the Calendarium of Al Achsasi Al Mouakket, this star was designated Aoul al Achbiya (Ø£ÙˆÙ„ Ø£Ù„Ø£Ø¬Ø¨Ù_Ø© - awwil al ahbiyah), which was translated into Latin as Prima Tabernaculorum, meaning the first of luck of the homes (tents). This star, along with Ï€ Aqr (Seat), Î¶ Aqr (Sadaltager / Achr al Achbiya) and Î· Aqr (Hydria), were al Aá¸£biyah (Ø§Ù„Ø£Ø®Ø¨Ù_Ø©), the Tent.In Chinese, å¢_å¢“ (FÃ©n MÃ_), meaning Tomb, refers to an asterism consisting of Î_ Aquarii, Î¶ Aquarii, Î· Aquarii, Ï€ Aquarii. Consequently, Î_ Aquarii itself is known as å¢_å¢“äºŒ (FÃ©n MÃ_ Ã¨r, English: the Second Star of Tomb).Gamma Aquarii is an A-type main sequence star with a stellar classification of A0 V, making it both larger and more massive than the Sun. It is a candidate Lambda BoÃ¶tis star, suggesting it may have accreted low-metallicity circumstellar gas some time in the past. It is spinning relatively rapidly with a projected rotational velocity of 80 km sâˆ’1. This value gives a lower bound on the actual azimuthal velocity along the star's equator. The outer atmosphere of Gamma Aquarii is radiating energy at an effective temperature of 10,500 K, which is nearly double the temperature at the surface of the Sun. This heat is what gives Gamma Aquarii the white-hot glow of an A-type star."
Skat or Scheat or Seat,Skat,"Delta Aquarii (Î´ Aqr, Î´ Aquarii) is the third-brightest star in the constellation Aquarius. It has the traditional name Skat, which has also been used for Beta Pegasi. The apparent visual magnitude is 3.3, which can be seen with the naked eye. The distance to this star is estimated as 160 light-years (49 parsecs) based upon parallax measurements."
Al Bali,Al Bali,"Epsilon Aquarii (Îµ Aqr, Îµ Aquarii) is the Bayer designation for a star in the equatorial zodiac constellation of Aquarius. It has the traditional name, Albali, and is visible to the naked eye with an apparent visual magnitude of 3.77. The distance to this star can be determined from parallax measurements, yielding an estimated value of around 208 light-years (64 pc) from Earth. Epsilon Aquarii is an A-type main sequence star with a stellar classification of A1 V."
Ancha,Ancha,"Theta Aquarii (Î¸ Aqr, Î¸ Aquarii) is the bayer designation for a star in the equatorial constellation of Aquarius. It has the traditional name Ancha; Medieval Latin for ""the haunch"". Visible to the naked eye at apparent magnitude 4.175, it is located at a distance of around 187 light-years (57 parsecs) from Earth. Since it is near the ecliptic it can be occulted by the Moon, or very rarely by planets.In Chinese, æ_£ (QÃ¬), meaning Weeping, refers to an asterism consisting of Î¸ Aquarii and ÏÅ Aquarii. Consequently, Î¸ Aquarii itself is known as æ_£äºŒ (QÃ¬ Ã¨r, English: the Second Star of Weeping.). Possibly, the name Lei meaning tears (weeping) in Chinese, was appear from the Chinese name for this starAncha belongs to the spectral class G8 with a luminosity class of IIIâ€“IV suggesting that, at an age of 437 million years, this star is part way between the subgiant and giant stages of its evolution. Estimates of the star's mass range from 2.39 to 2.78 times the Sun's mass, with a radius of about 12 times that of the Sun. It is radiating from 72 to 83 times as much luminosity as the Sun from its enlarged outer envelope at an effective temperature of 4,864 K. At this heat, the star glows with the yellow hue of a G-type star."
Situla,Situla,"Kappa Aquarii (Îº Aqr, Îº Aquarii) is the Bayer designation for a double star in the equatorial constellation of Aquarius. It has the traditional name Situla, a Latin word meaning ""bucket"" or ""water jar"". This system is visible to the naked eye, but it is faint at an apparent magnitude of 5.03. Based upon parallax measurements made during the Hipparcos mission, the distance to Kappa Aquarii is around 214 light-years (66 parsecs).This is most probably a wide binary star system. The brighter component is a giant star with a stellar classification of K2 III. It has exhausted the supply of hydrogen at its core and has expanded to 13 times the radius of the Sun. Kappa Aquarii is radiating 60 times the Sun's luminosity from its outer envelope at an effective temperature of 4,581 K, giving it the orange-hued glow of a K-type star.The fainter companion star is located at an angular separation of 98.3 arcseconds and has an apparent magnitude of 8.8."
