Psc,Pisces,Pisces is a constellation of the zodiac. Its name is the Latin plural for fish. It lies between Aquarius to the west and Aries to the east. The ecliptic and the celestial equator intersect within this constellation and in Virgo.
Ori,Orion,"Orion is a prominent constellation located on the celestial equator and visible throughout the world. It is one of the most conspicuous and recognizable constellations in the night sky. It was named after Orion, a hunter in Greek mythology. Its brightest stars are Rigel (Beta Orionis) and Betelgeuse (Alpha Orionis), a blue-white and a red supergiant, respectively."
Her,Hercules,"Hercules is a constellation named after Hercules, the Roman mythological hero adapted from the Greek hero Heracles. Hercules was one of the 48 constellations listed by the 2nd century astronomer Ptolemy, and it remains one of the 88 modern constellations today. It is the fifth largest of the modern constellations."
Col,Columba,"Columba is a small, faint constellation created in the late sixteenth century. Its name is Latin for dove. It is located just south of Canis Major and Lepus."
Men,Mensa,"Mensa is a small constellation in the Southern Celestial Hemisphere between Scorpius and Centaurus, one of twelve drawn up in the 18th century by French astronomer Nicolas Louis de Lacaille. Its name is Latin for table, though it originally depicted Table Mountain and was known as Mons Mensae. It covers a keystone-shaped wedge of sky stretching from approximately 4h to 7.5h of right ascension, and −71 to −85.5 degrees of declination. Other than the south polar constellation of Octans, it is the most southerly of constellations. As a result, it is essentially unobservable from the Northern Hemisphere.
One of the faintest constellations in the night sky, Mensa boasts no bright stars. Its brightest star, Alpha Mensae is barely visible in suburban skies. Two star systems in Mensa have been found to have planets, and the Large Magellanic Cloud lies within the constellation's borders."
CrA,Corona Austrina,"Corona Australis or Corona Austrina is a constellation in the Southern Celestial Hemisphere. Its Latin name means ""southern crown"", and it is the southern counterpart of Corona Borealis, the northern crown. One of the 48 constellations listed by the 2nd-century astronomer Ptolemy, it remains one of the 88 modern constellations. The Ancient Greeks saw Corona Australis as a wreath rather than a crown and associated it with Sagittarius or Centaurus. Other cultures have likened the pattern to a turtle, ostrich nest, a tent, or even a hut belonging to a rock hyrax.
Although fainter than its namesake, the oval- or horseshoe-shaped pattern of its brighter stars renders it distinctive. Alpha and Beta Coronae Australis are the two brightest stars with an apparent magnitude of around 4.1. Epsilon Coronae Australis is the brightest example of a W Ursae Majoris variable in the southern sky. Lying alongside the Milky Way, Corona Australis contains one of the closest star-forming regions to the Solar System—a dusty dark nebula known as the Corona Australis Molecular Cloud, lying about 430 light years away. Within it are stars at the earliest stages of their lifespan. The variable stars R and TY Coronae Australis light up parts of the nebula, which varies in brightness accordingly."
Cap,Capricornus,"Capricornus  is one of the constellations of the zodiac. Its name is Latin for ""horned goat"" or ""goat horn"", and it is commonly represented in the form of a sea-goat: a mythical creature that is half goat, half fish. Its symbol is  (Unicode ♑).
Capricornus is one of the 88 modern constellations, and was also one of the 48 constellations listed by the 2nd century astronomer Ptolemy. Under its modern boundaries it is bordered by Aquila, Sagittarius, Microscopium, Piscis Austrinus, and Aquarius. The constellation is located in an area of sky called the Sea or the Water, consisting of many water-related constellations such as Aquarius, Pisces and Eridanus. It is the smallest constellation in the zodiac."
Cam,Camelopardalis,"Camelopardalis  or the Giraffe constellation is a large, faint grouping of stars in the northern sky. The constellation was introduced in 1612 (or 1613) by Petrus Plancius. Some older astronomy books give an alternative spelling of the name, Camelopardus.

"
Oct,Octans,"Octans  is a faint constellation located in the deep southern sky. Its name is Latin for the eighth part of a circle, but it is named after the octant, a navigational instrument. The constellation was devised by French astronomer Nicolas Louis de Lacaille in 1752, and it remains one of the 88 modern constellations."
Vul,Vulpecula,"Vulpecula  is a faint constellation in the northern sky. Its name is Latin for ""little fox"", although it is commonly known simply as the fox. It was identified in the seventeenth century, and is located in the middle of the Summer Triangle (an asterism consisting of the bright stars Deneb, Vega and Altair)."
Sex,Sextans,"Sextans is a minor equatorial constellation which was introduced in 1687 by Johannes Hevelius. Its name is Latin for the astronomical sextant, an instrument that Hevelius made frequent use of in his observations."
Vel,Vela,"Vela is a constellation in the southern sky. Its name is Latin for the sails of a ship, and it was originally part of a larger constellation, the ship Argo Navis, which was later divided into three parts, the others being Carina and Puppis. With an apparent magnitude of 1.8, its brightest star is the hot blue multiple star Gamma Velorum, one component of which is the brightest Wolf-Rayet star in the sky. Delta and Kappa Velorum, together with Epsilon and Iota Carinae, form the asterism known as the False Cross. 1.95-magnitude Delta is actually a triple or quintuple star system.

"
Aps,Apus,"Apus is a faint constellation in the southern sky, first defined in the late 16th century. Its name means ""no feet"" in Greek, and it represents a bird-of-paradise (which were once believed to lack feet). Its genitive is ""Apodis"". The orange giant Alpha Apodis is the brightest star in the constellation. Three star systems have been found to have planets."
Sct,Scutum,Scutum is a small constellation introduced in the seventeenth century. Its name is Latin for shield.
Vol,Volans,"Volans is a constellation in the southern sky. It represents a flying fish; its name is a shortened form of its original name, Piscis Volans. Volans was one of twelve constellations created by Petrus Plancius from the observations of Pieter Dirkszoon Keyser and Frederick de Houtman and it first appeared on a 35-cm diameter celestial globe published in 1597 (or 1598) in Amsterdam by Plancius with Jodocus Hondius. The first depiction of this constellation in a celestial atlas was in Johann Bayer's Uranometria of 1603."
Lep,Lepus,"Lepus () is a constellation lying just south of the celestial equator, immediately south of Orion. Its name is Latin for hare. Although the hare does not represent any particular figure in Greek mythology, Lepus was one of the 48 constellations listed by the 2nd century astronomer Ptolemy, and it remains one of the 88 modern constellations. It is located below the constellation Orion (the hunter), and is sometimes represented as a hare being chased by Orion or, alternatively, by Orion's hunting dogs.
This constellation should not be confused with Lupus, the wolf."
Cae,Caelum,"Caelum  is a faint constellation in the southern sky, introduced in the 1750s by Nicolas Louis de Lacaille. Its name means ""chisel"" in Latin, and it was formerly known as Caelum Scalptorium (""the engravers' chisel""); a rare word, unconnected with the far more common Latin caelum, meaning ""sky, heaven, atmosphere"". It is the eighth-smallest constellation, and subtends a solid angle of around 0.038 steradians, just less than that of Corona Australis.
Due to its small size and location away from the plane of the Milky Way, Caelum is a rather barren constellation, with few objects of interest. The constellation's brightest star, Alpha Caeli, is only of magnitude 4.45, and only one other star (Gamma1 Caeli) is brighter than magnitude 5. Other notable objects in Caelum are RR Caeli,a binary star with one known planet approximately 20.13 parsecs (65.7 ly) away; X Caeli, a Delta Scuti variable that forms an optical double with Gamma1 Caeli; and HE0450-2958, a Seyfert galaxy that at first appeared as just a jet with no host galaxy visible."
And,Andromeda,"Andromeda is one of the 48 constellations listed by the 2nd-century Greco-Roman astronomer Ptolemy and remains one of the 88 modern constellations. Located north of the celestial equator, it is named for Andromeda, daughter of Cassiopeia, in the Greek myth, who was chained to a rock to be eaten by the sea monster Cetus. Andromeda is most prominent during autumn evenings in the Northern Hemisphere, along with several other constellations named for characters in the Perseus myth. Because of its northern declination, Andromeda is visible only north of 40° south latitude; for observers farther south it lies below the horizon. It is one of the largest constellations, with an area of 722 square degrees. This is over 1,400 times the size of the full moon, 55% of the size of the largest constellation, Hydra, and over 10 times the size of the smallest constellation, Crux.
Its brightest star, Alpha Andromedae, is a binary star that has also been counted as a part of Pegasus, while Gamma Andromedae is a colorful binary and a popular target for amateur astronomers. Only marginally dimmer than Alpha, Beta Andromedae is a red giant, its color visible to the naked eye. The constellation's most obvious deep-sky object is the naked-eye Andromeda Galaxy (M31, also called the Great Galaxy of Andromeda), the closest spiral galaxy to the Milky Way and one of the brightest Messier objects. Several fainter galaxies, including M31's companions M110 and M32, as well as the more distant NGC 891, lie within Andromeda. The Blue Snowball Nebula, a planetary nebula, is visible in a telescope as a blue circular object.
In Chinese astronomy, the stars that make up Andromeda were members of four different constellations that had astrological and mythological significance; a constellation related to Andromeda also exists in Hindu mythology. Andromeda is the location of the radiant for the Andromedids, a weak meteor shower that occurs in November."
CMi,Canis Minor,"Canis Minor  is a small constellation in the northern celestial hemisphere. In the second century, it was included as an asterism, or pattern, of two stars in Ptolemy's 48 constellations, and it is counted among the 88 modern constellations. Its name is Latin for ""lesser dog"", in contrast to Canis Major, the ""greater dog""; both figures are commonly represented as following the constellation of Orion the hunter.
Canis Minor contains only two stars brighter than the fourth magnitude, Procyon (Alpha Canis Minoris), with a magnitude of 0.34, and Gomeisa (Beta Canis Minoris), with a magnitude of 2.9. The constellation's dimmer stars were noted by Johann Bayer, who named eight stars including Alpha and Beta, and John Flamsteed, who numbered fourteen. Procyon is the seventh-brightest star in the night sky, as well as one of the closest. A yellow-white main sequence star, it has a white dwarf companion. Gomeisa is a blue-white main sequence star. Luyten's Star is a ninth-magnitude red dwarf and the Solar System's next closest stellar neighbour in the constellation after Procyon. The fourth-magnitude HD 66141, which has evolved into an orange giant towards the end of its life cycle, was discovered to have a planet in 2012. There are two faint deep sky objects within the constellation's borders. The 11 Canis-Minorids are a meteor shower that can be seen in early December."
For,Fornax,Fornax () is a constellation in the southern sky. Its name is Latin for furnace. It was named by French astronomer Nicolas Louis de Lacaille in 1756. Fornax is one of the 88 modern constellations.
